k = 2 p = 2	CH score 459.33 within_var 41678.47	CH score 459.33 within_var 41678.47	CH score 461.99 within_var 41612.97	
k = 2 p = 3	CH score 454.43 within_var 41799.63	CH score 289.08 within_var 46346.43	CH score nan within_var 57230.15	
k = 2 p = 5	CH score 289.08 within_var 46346.43	CH score 459.33 within_var 41678.47	CH score 213.66 within_var 48765.91	
k = 2 p = 10	CH score 289.08 within_var 46346.43	CH score 459.33 within_var 41678.47	CH score 453.09 within_var 41832.76	
k = 3 p = 2	CH score 398.15 within_var 34739.68	CH score 240.32 within_var 41150.26	CH score 387.43 within_var 35111.25	
k = 3 p = 3	CH score 311.32 within_var 37996.27	CH score 239.87 within_var 41171.91	CH score 387.43 within_var 35111.25	
k = 3 p = 5	CH score 146.69 within_var 46208.19	CH score 157.06 within_var 45587.67	CH score 332.29 within_var 37154.96	
k = 3 p = 10	CH score 146.69 within_var 46208.19	CH score 239.14 within_var 41206.91	CH score 266.57 within_var 39924.78	
k = 4 p = 2	CH score nan within_var 45587.67	CH score 275.00 within_var 34243.15	CH score 280.29 within_var 33980.92	
k = 4 p = 3	CH score nan within_var 34739.68	CH score 163.64 within_var 40894.66	CH score nan within_var 38968.16	
k = 4 p = 5	CH score 268.05 within_var 34594.63	CH score 217.13 within_var 37404.77	CH score 285.57 within_var 33722.58	
k = 4 p = 10	CH score 267.91 within_var 34601.44	CH score 158.45 within_var 41268.42	CH score 183.48 within_var 39527.18	
k = 5 p = 2	CH score 229.02 within_var 32777.72	CH score 213.60 within_var 33748.94	CH score 140.09 within_var 39297.42	
k = 5 p = 3	CH score 232.44 within_var 32570.33	CH score 223.97 within_var 33089.69	CH score nan within_var 33878.13	
k = 5 p = 5	CH score 118.81 within_var 41261.40	CH score nan within_var 40149.11	CH score nan within_var 32872.09	
k = 5 p = 10	CH score 253.76 within_var 31331.92	CH score 219.62 within_var 33363.17	CH score nan within_var 34739.68	
k = 6 p = 2	CH score nan within_var 31956.13	CH score 114.43 within_var 39030.47	CH score 177.04 within_var 33245.61	
k = 6 p = 3	CH score 215.83 within_var 30449.39	CH score 199.36 within_var 31576.95	CH score nan within_var 32530.92	
k = 6 p = 5	CH score nan within_var 51748.95	CH score nan within_var 34334.41	CH score 210.77 within_var 30787.08	
k = 6 p = 10	CH score 195.01 within_var 31889.33	CH score 196.98 within_var 31747.19	CH score 195.12 within_var 31880.96	
