k = 2 p = 2 Silhouette scores: 	0.27	0.27	0.27	
k = 2 p = 5 Silhouette scores: 	0.18	0.27	0.13	
k = 2 p = 10 Silhouette scores: 	0.18	0.27	0.27	
k = 3 p = 2 Silhouette scores: 	0.23	0.11	0.22	
k = 3 p = 3 Silhouette scores: 	0.17	0.17	0.22	
k = 3 p = 5 Silhouette scores: 	0.08	0.09	0.19	
k = 3 p = 10 Silhouette scores: 	0.08	0.18	0.16	
k = 4 p = 2 Silhouette scores: 	0.09	0.15	0.17	
k = 4 p = 3 Silhouette scores: 	0.23	0.07	0.14	
k = 4 p = 5 Silhouette scores: 	0.15	0.09	0.17	
k = 4 p = 10 Silhouette scores: 	0.15	0.06	0.07	
k = 5 p = 2 Silhouette scores: 	0.16	0.09	0.10	
k = 5 p = 3 Silhouette scores: 	0.16	0.13	0.17	
k = 5 p = 5 Silhouette scores: 	0.17	0.10	0.20	
k = 5 p = 10 Silhouette scores: 	0.16	0.12	0.23	
k = 6 p = 2 Silhouette scores: 	0.17	0.09	0.14	
k = 6 p = 3 Silhouette scores: 	0.15	0.11	0.17	
k = 6 p = 5 Silhouette scores: 	-0.00	0.16	0.12	
k = 6 p = 10 Silhouette scores: 	0.17	0.12	0.10	
